문서제목,기안한부서,배부될부서
2025년 상반기 신입사원 채용 계획(안),인사총무팀,개발1팀;영업1팀;영업2팀
영업1팀 워크샵 비용 정산 요청,영업1팀,마케팅팀;IT인프라팀
마케팅 전략 회의록 (7월 1주차),마케팅팀,개발2팀
서버실 이전 작업에 따른 서비스 중단 안내,IT인프라팀,영업2팀;재무회계팀;인사총무팀
법무 검토 요청: 신규 서비스 이용 약관,법무팀,개발1팀
2분기 재무 성과 보고,재무회계팀,인사총무팀
인사평가 시스템 개선을 위한 TF팀 구성,인사총무팀,영업1팀;법무팀;마케팅팀
고객 클레임 처리 절차 변경 안내,고객지원팀,인사총무팀;개발2팀;IT인프라팀
개발팀 신규 노트북 구매 품의,개발1팀,IT인프라팀;재무회계팀
사내 보안 강화 교육 실시 안내,정보보안팀,영업1팀
하반기 광고 예산 집행 계획,마케팅팀,영업2팀;개발2팀
경쟁사 동향 분석 보고서,전략기획팀,IT인프라팀;영업1팀
대표이사 주관 분기 실적 발표회 준비,경영지원실,경영지원실
회계감사 대비 자료 준비 요청,재무회계팀,개발1팀
사내 동호회 지원금 신청,인사총무팀,마케팅팀
